country,event_code,description,response_description,response_note,response_due
US,PR71,POST REGISTRATION ACTION MAILED - SEC.71,,,
US,PR75,POST REGISTRATION ACTION MAILED - SEC. 71 & 15,,,
US,PR89,POST REGISTRATION ACTION MAILED - SEC. 8 & 9,,,
US,PRA7,REGISTERED - SEC. 7 REQUEST ABANDONED,,,
US,PRA8,POST REGISTRATION ACTION MAILED - SEC. 8,,,
US,PRA9,POST REGISTRATION ACTION MAILED - SEC. 9,,,
US,PRAM,POST REGISTRATION ACTION MAILED - SEC. 7,,,
US,PRAN,POST REGISTRATION ACTION MAILED NO RESPONSE REQUIRED,,,
US,PREV,LAW OFFICE PUBLICATION REVIEW COMPLETED,,,
US,PRIM,PETITION INQUIRY LETTER MAILED,,,
US,PROA,TEAS PETITION TO REVIVE RECEIVED,,,
US,PUBO,PUBLISHED FOR OPPOSITION,,,
US,R.PR,REGISTERED-PRINCIPAL REGISTER,1-month Notice of Final Date to Submit Section 8/9 Renewal (With Surcharge),,125.months
US,R.PR,REGISTERED-PRINCIPAL REGISTER,First date Filing Period opens for Section 8 Affidavit of Use and Section 15 Declaration of Incontestability,,5.years
US,R.PR,REGISTERED-PRINCIPAL REGISTER,6-month Notice of First Section 8 Due Date (No-Surcharge),,66.months
US,R.PR,REGISTERED-PRINCIPAL REGISTER,1-month Notice of First Section 8 Due Date (No-Surcharge),,71.months
US,R.PR,REGISTERED-PRINCIPAL REGISTER,First date Filing Period opens for Section 8 Affidavit of Use and Section 9 Renewal,,9.years
US,R.PR,REGISTERED-PRINCIPAL REGISTER,1-month Notice prior to First Date of Filing Period for Section 8/9 Renewal,,107.months
US,R.PR,REGISTERED-PRINCIPAL REGISTER,Latest date Section 8/9 Renewal can be filed (No-Surcharge),,10.years
US,R.PR,REGISTERED-PRINCIPAL REGISTER,6-month Notice of First Section 8/9 Renewal Due Date (No-Surcharge),,114.months
US,R.PR,REGISTERED-PRINCIPAL REGISTER,1-month Notice of First Section 8/9 Renewal Due Date (No-Surcharge),,119.months
US,R.PR,REGISTERED-PRINCIPAL REGISTER,1-month Notice prior to First Date of Filing Period for Section 8/15,,59.months
US,R.PR,REGISTERED-PRINCIPAL REGISTER,1-month Notice of Final Date to Submit Section 8 (Surcharge Fee Required),,77.months
US,R.PR,REGISTERED-PRINCIPAL REGISTER,Latest date Section 8 Affidavit of Use and Section 15 Declaration of Incontestability can be filed without paying additional fee,,6.years
US,R.PR,REGISTERED-PRINCIPAL REGISTER,6-month Notice of Final Date to Submit Section 8/9 Renewal (With Surcharge ),,10.years
US,R.PR,REGISTERED-PRINCIPAL REGISTER,6-month Notice of Final Date to Submit Section 8 (Surcharge Fee Required),,6.years
US,R.SR,REGISTERED-SUPPLEMENTAL REGISTER,,,
US,RBFT,REPLY BRIEF FILED - CHECK TTAB FILES,,,
US,RCCK,LIE CHECKED SUSP - TO ATTY FOR ACTION,,,
US,RCFR,REQUEST TO CORRECT FILING DATE RECEIVED,,,
US,RCII,REQUEST TO CANCEL INADVERTENTLY ISSUED REGISTRATION RECEIVED,,,
US,RCSC,REPORT COMPLETED SUSPENSION CHECK CASE STILL SUSPENDED,,,
US,RDX1,ACTION FOR REQ FOR RECON DENIED NO APPEAL FILED E-MAILED,,,
US,RDX2,ACTION FOR REQ FOR RECON DENIED NO APPEAL FILED MAILED,,,
US,RDX3,NOTIFICATION FOR REQ FOR RECON DENIED NO APPEAL FILED,,,
US,REAP,TEAS REVOKE/APP/CHANGE ADDR OF ATTY/DOM REP RECEIVED,,,
US,RECD,ACTION DENYING REQ FOR RECON MAILED,,,
US,REGV,LAW OFFICE REGISTRATION REVIEW COMPLETED,,,
US,REIN,REINSTATED,,,
US,REM1,COURTESY REMINDER - SEC. 8 (6-YR) E-MAILED,,,
US,REM2,COURTESY REMINDER - SEC. 8 (10-YR)/SEC. 9 E-MAILED,File a Declaration of Use and/or Excusable Nonuse and an Application for Renewal under Section 8 and 9 of Trademark Act,,10.years
US,REM2,COURTESY REMINDER - SEC. 8 (10-YR)/SEC. 9 E-MAILED,File the documents within the six-month grace period,,18.months
US,REM2,COURTESY REMINDER - SEC. 8 (10-YR)/SEC. 9 E-MAILED,File a Declaration of Use and/or Excusable Nonuse and an Application for Renewal under Section 8 and 9 of the Trademark Act,,12.months
US,REM3,COURTESY REMINDER - SEC. 71 (6-YR) E-MAILED,,,
US,REM4,COURTESY REMINDER - SEC. 71 (10-YR) E-MAILED,,,
US,REN1,REGISTERED AND RENEWED (FIRST RENEWAL - 20 YRS),,,
US,REN2,REGISTERED AND RENEWED (SECOND RENEWAL - 20 YRS),,,
US,REN3,REGISTERED AND RENEWED (THIRD RENEWAL - 20 YRS),,,
US,REN4,REGISTERED AND RENEWED (FOURTH RENEWAL - 20 YRS),,,
US,REPR,SN ASSIGNED FOR SECT 66A APPL FROM IB,,,
US,RFCR,NON-FINAL ACTION (IB REFUSAL) PREPARED FOR REVIEW,,,
US,RFCS,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,3-Month Notice to file Response to Office Action,,3.months
US,RFCS,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,Response to Office Action Due (Drop Dead Date),,6.months
US,RFCS,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,1-Month Notice to file Response to Office Action,,5.months
US,RFNP,REFUSAL PROCESSED BY IB,,,
US,RFNT,REFUSAL PROCESSED BY IB,,,
US,RFRR,REFUSAL PROCESSED BY MPU,,,
US,RFSH,REQUEST FOR SPECIAL HANDLING RECEIVED,,,
US,RFTP,REMOVED FROM TEAS PLUS,,,
US,RFWR,NON-FINAL ACTION (IB REFUSAL) WITHDRAWN FOR REVIEW,,,
US,RG1B,REINSTATEMENT GRANTED - REQUEST TO DELETE 1(B) FILED,,,
US,RGEX,REINSTATEMENT GRANTED - EXTENSION REQUEST FILED,,,
US,RGIA,REINSTATEMENT GRANTED - INADVERTENTLY ABANDONED,,,
US,RGOA,REINSTATEMENT GRANTED - REMAIL OFFICE ACTION,,,
US,RGRR,REINSTATEMENT GRANTED - RESPONSE RECEIVED,,,
US,RGSU,REINSTATEMENT GRANTED - SOU FILED,,,
US,RGTD,REINSTATEMENT GRANTED - TTAB DECISION REVERSED,,,
US,RGTR,REINSTATEMENT GRANTED - TTAB REQUEST,,,
US,RHRD,RESTRICTION OF HOLDER'S RIGHT OF DISPOSAL RECEIVED,,,
US,RINX,USPTO CORRECTION PROCESSED BY IB,,,
US,RMDT,EXAMINERS REQUEST FOR REMAND TO TTAB,,,
US,RMRF,REMOVE FROM TEASRF,,,
US,RNL1,REGISTERED AND RENEWED (FIRST RENEWAL - 10 YRS),,,
US,RNL2,REGISTERED AND RENEWED (SECOND RENEWAL - 10 YRS),,,
US,RNL3,REGISTERED AND RENEWED (THIRD RENEWAL - 10 YRS),,,
US,RNL4,REGISTERED AND RENEWED (FOURTH RENEWAL - 10 YRS),,,
US,RNL5,REGISTERED AND RENEWED (FIFTH RENEWAL - 10 YRS),,,
US,RNL6,REGISTERED AND RENEWED (SIXTH RENEWAL - 10 YRS),,,
US,RNWL,INTERNATIONAL REGISTRATION RENEWED,,,
US,RPUB,NOA CANCELLED; REPUBLICATION REQUIRED,,,
US,RRDX,ACTION REQ FOR RECON DENIED NO APPEAL FILED COUNTED NOT MAILED,,,
US,RRPR,RESPONSE RECEIVED TO POST REG. ACTION,,,
US,RSHD,REQUEST FOR SPECIAL HANDLING DENIED,,,
US,RSHG,REQUEST FOR SPECIAL HANDLING - GRANTED,,,
US,RTTP,RESTORE TO TEAS PLUS,,,
US,SDRC,SN ASSIGNED FOR SECT 66A SUBSEQ DESIG FROM IB,,,
US,SNEA,SU-EXAMINER'S AMENDMENT WRITTEN,,,
US,SPEA,SU - EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION - WRITTEN,,,
US,SPRA,SU - PRIORITY ACTION WRITTEN,,,
US,STAL,REQUEST FOR STATUS PROCESSED,,,
US,SUNA,NOTICE OF ACCEPTANCE OF STATEMENT OF USE MAILED,,,
US,SUPC,STATEMENT OF USE PROCESSING COMPLETE,,,
US,TAEA,TEAS AMENDMENT ENTERED BEFORE ATTORNEY ASSIGNED,,,
US,TCAL,TEAS CORR ADDRESS REQUEST RECEIVED BUT NOT PROCESSED LOC IS TTAB,,,
US,TCCA,TEAS CHANGE OF CORRESPONDENCE RECEIVED,,,
US,TEME,TEAS/EMAIL CORRESPONDENCE ENTERED,,,
US,TMBN,TTAB RELEASE CASE TO TRADEMARKS,,,
US,TPAD,TEAS PETITION TO AMEND BASIS RECEIVED,,,
US,TPDD,TEAS DUE DILIGENCE PETITION RECEIVED,,,
US,TPDR,TEAS PETITION TO DIRECTOR RECEIVED,,,
US,TPEX,EXTENSION RECEIVED WITH TEAS PETITION,,,
US,TPMS,TEAS PETITION TO DIRECTOR-MAKE SPECIAL-RECEIVED,,,
US,TRMS,TEAS REQUEST TO MAKE SPECIAL RECEIVED,,,
US,TROA,TEAS RESPONSE TO OFFICE ACTION RECEIVED,,,
US,TTBN,CASE ASSIGNED TO TTAB,,,
US,UNDC,UNDELIVERABLE MAIL - COURTESY COPY MAILED,,,
US,UNDN,UNDELIVERABLE MAIL - NO ACTION TAKEN,,,
US,UNDR,UNDELIVERABLE MAIL - CORRESP. REMAILED,,,
US,UNPR,UNRESPONSIVE/DUPLICATE PAPER RECEIVED,,,
US,UNTD,"REQUEST TO DIVIDE UNTIMELY, REFUSED, OR WITHDRAWN",,,
US,WDLA,WITHDRAWAL OF ATTORNEY APPROVED,,,
US,WDRL,OTQR WITHDRAWAL FROM PUBLICATION,,,
US,WOAG,WITHDRAWAL OF ATTORNEY GRANTED,,,
US,WOAR,TEAS WITHDRAWAL OF ATTORNEY RECEIVED,,,
US,WRDA,WITHDRAWAL OF REFUSAL DURING APPEAL,,,
US,XAAP,EXAMINER'S AMENDMENT AFTER PUB APPROVAL,,,
US,XAEC,EXAMINER'S AMENDMENT ENTERED,,,
US,XXCR,GENERIC MADRID TRANSACTION CREATED,,,
US,XXSS,GENERIC MADRID TRANSACTION SENT TO IB,,,
US,XXXX,POST REGISTRATION ACTION CORRECTION,,,
US,ZZAX,PREVIOUS ALLOWANCE WITHDRAWN-TIMELY AAU,,,
US,ZZBX,ALLOWANCE WITHDRAWN-INADVERTENTLY ISSUED ACTION,,,
US,ZZZX,PREVIOUS ALLOWANCE COUNT WITHDRAWN,,,
US,ZZZY,PREVIOUS ACTION COUNT WITHDRAWN,,,
US,ZZZZ,ALLOWANCE/COUNT WITHDRAWN,,,
